Step,KAN,MIKAN,Edge-wise Embedding,Node-wise Embedding,Node-wise Embedding with Mixing
0,0.9571058917197451,0.9321257961783438,0.9349721337579618,0.3348427547770701,0.36116640127388544
1,0.9656648089171975,0.9521297770700636,0.9545581210191083,0.5700139331210192,0.7977308917197452
2,0.968063296,0.9587579617834395,0.9597133757961783,0.6850218949044586,0.900248806
3,0.967625398,0.9609872611464969,0.9650378184713377,0.7424363057324841,0.9087679140127388
4,0.9689291401273884,0.9665107484076433,0.9663813694267516,0.7866640127388534,0.9156648089171974
5,0.967734873,0.9667296974522295,0.9689390923566881,0.7926950636942676,0.9186902866242038
6,0.9702428343949044,0.9690087579617834,0.9693471337579618,0.8179339171974522,0.9243929140127388
7,0.9699343152866243,0.9681528662420383,0.970033838,0.8394207802547772,0.9243332006369427
8,0.9687002388535031,0.9710290605095541,0.9716162420382165,0.8309613853503185,0.9302945859872611
9,0.9689390923566877,0.9723029458598725,0.9704816878980893,0.8471536624203821,0.9317078025477705
10,0.9691281847133759,0.9729398885350319,0.9703125,0.8456707802547772,0.9313992834394904
11,0.9718053343949042,0.9722332802547771,0.9713574840764331,0.8277866242038214,0.9346536624203822
12,0.969516322,0.9715266719745224,0.9719446656050954,0.8570362261146496,0.9371317675159236
13,0.969297373,0.9737559713375796,0.9721238057324841,0.8507862261146496,0.9385847929936306
14,0.969327229,0.9736564490445861,0.9714371019108281,0.860609076,0.9395402070063694
15,0.9706707802547772,0.9744625796178342,0.9714968152866241,0.8530752388535031,0.939749204
16,0.968063296,0.9738057324840763,0.9720242834394904,0.8574044585987262,0.9414112261146498
17,0.9692177547770701,0.9738057324840763,0.9716759554140127,0.8603403662420381,0.9415306528662419
18,0.9698546974522293,0.9754179936305732,0.9720541401273886,0.8701532643312102,0.9427945859872612
19,0.968889331,0.9755672770700636,0.9706608280254778,0.875189092,0.9433419585987259
20,0.9687898089171973,0.9746019108280255,0.9722929936305732,0.8726512738853502,0.9445362261146497
21,0.9691281847133757,0.9759355095541402,0.9715067675159237,0.8742436305732484,0.9445760350318471
22,0.967844347,0.9754578025477706,0.9724820859872612,0.8684812898089171,0.9452726910828024
23,0.9694864649681529,0.9745023885350317,0.9723527070063692,0.8716162420382165,0.9466361464968154
24,0.9698049363057326,0.9754279458598727,0.9724323248407643,0.8756867038216563,0.948109076
25,0.9697750796178344,0.9760051751592356,0.9719247611464968,0.8788913216560509,0.9477707006369428
26,0.9689789012738853,0.9768610668789808,0.9722830414012739,0.8836683917197451,0.9488455414012739
27,0.9679140127388534,0.9746815286624203,0.9724422770700638,0.8809514331210192,0.945999204
28,0.9679637738853503,0.9765425955414011,0.9736464968152865,0.8754378980891719,0.9478105095541401
29,0.9680732484076433,0.9751293789808917,0.9726413216560511,0.8854996019108279,0.9480692675159235
30,0.9677149681528661,0.9764629777070063,0.9737360668789808,0.9080015923566878,0.9568371815286627
31,0.9693172770700637,0.9764928343949044,0.9737062101910826,0.9115047770700638,0.9577527866242038
32,0.9693869426751591,0.9757563694267516,0.9738057324840763,0.9123109076433122,0.9573945063694268
33,0.9688992834394904,0.9761843152866241,0.9733877388535033,0.9142814490445861,0.9574144108280256
34,0.9682822452229299,0.9776074840764333,0.9737161624203822,0.9143710191082801,0.9572253184713375
35,0.9676253980891719,0.9765525477707004,0.9734375,0.9152766719745223,0.9579916401273885
36,0.9659235668789808,0.9765027866242038,0.9750398089171973,0.9166003184713375,0.9585589171974522
37,0.9679936305732484,0.9771496815286624,0.9762340764331212,0.9174064490445858,0.9589470541401275
38,0.9689092356687897,0.9773586783439491,0.9730991242038218,0.919048567,0.95901672
39,0.9669984076433122,0.9763833598726114,0.9755175159235667,0.9190585191082802,0.9587977707006369
40,0.9679239649681529,0.9764729299363057,0.9757464171974523,0.9179339171974522,0.958718153
41,0.9677050159235667,0.976861067,0.9755274681528661,0.9203324044585987,0.9580911624203822
42,0.9662022292993632,0.9770700636942676,0.9720043789808918,0.9201134554140126,0.9589072452229299
43,0.9672770700636943,0.9771795382165605,0.9760549363057324,0.9180334394904458,0.9599920382165605
44,0.9678642515923567,0.9761445063694266,0.9757862261146497,0.9196357484076433,0.9590664808917199
45,0.9667197452229301,0.9773686305732483,0.9756966560509553,0.9234076433121018,0.9593550955414013
46,0.9654956210191081,0.9763833598726116,0.9764729299363057,0.9195561305732485,0.959315287
47,0.9657941878980892,0.977607484,0.9763933121019109,0.9214470541401274,0.9592655254777072
48,0.9675855891719746,0.9765226910828024,0.9729597929936306,0.92223328,0.9594148089171973
49,0.9660628980891721,0.9767615445859871,0.9764828821656051,0.9237957802547772,0.960111465
